"termino_espanol","termino_ingles","emotion","valence","arousal","dominance","nivel_arousal"
"a ciegas","blindly","sadness",-0.122,0.196,-0.444,"medio"
"a hurtadillas","stealthily","surprise",0.526,-0.412,-0.084,"bajo"
"a la deriva","adrift","anticipation",-0.204,-0.028,-0.54,"medio"
"a la deriva","adrift","fear",-0.204,-0.028,-0.54,"medio"
"a la deriva","adrift","sadness",-0.204,-0.028,-0.54,"medio"
"a la fuerza","forcibly","anger",-0.27,0.408,0.294,"alto"
"a la fuerza","forcibly","fear",-0.27,0.408,0.294,"alto"
"ábaco","abacus","trust",0.02,-0.448,-0.03,"bajo"
"abad","abbot","trust",-0.146,-0.358,-0.034,"bajo"
"abajo","bottom","sadness",-0.166,-0.26,-0.418,"medio"
"abandonado","forsaken","anger",-0.9,-0.02,-0.616,"medio"
"abandonado","abandoned","anger",-0.908,-0.038,-0.74,"medio"
"abandonado","deserted","anger",-0.688,-0.04,-0.572,"medio"
"abandonado","deserted","disgust",-0.688,-0.04,-0.572,"medio"
"abandonado","deserted","fear",-0.688,-0.04,-0.572,"medio"
"abandonado","abandoned","fear",-0.908,-0.038,-0.74,"medio"
"abandonado","abandoned","sadness",-0.908,-0.038,-0.74,"medio"
"abandonado","forsaken","sadness",-0.9,-0.02,-0.616,"medio"
"abandonado","forlorn","sadness",-0.368,0.142,-0.566,"medio"
"abandonado","deserted","sadness",-0.688,-0.04,-0.572,"medio"
"abandonar","abandon","fear",-0.896,0.038,-0.599,"medio"
"abandonar","abandon","sadness",-0.896,0.038,-0.599,"medio"
"abandonar","forsake","sadness",-0.796,0.134,-0.554,"medio"
"abandonar","leave","sadness",-0.25,-0.37,-0.41,"bajo"
"abandonar","leave","surprise",-0.25,-0.37,-0.41,"bajo"
"abandono","abandonment","anger",-0.744,-0.14,-0.596,"medio"
"abandono","abandonment","fear",-0.744,-0.14,-0.596,"medio"
"abandono","abandonment","sadness",-0.744,-0.14,-0.596,"medio"
"abandono","abandonment","surprise",-0.744,-0.14,-0.596,"medio"
"abedul","birch","anger",0.124,-0.308,-0.236,"medio"
"abedul","birch","disgust",0.124,-0.308,-0.236,"medio"
"abedul","birch","fear",0.124,-0.308,-0.236,"medio"
"abeja","bee","anger",0.04,0.018,-0.382,"medio"
"abeja","bee","fear",0.04,0.018,-0.382,"medio"
"aberración","aberration","disgust",-0.75,0.632,-0.166,"alto"
"abierto","overt","fear",0.416,-0.348,0.214,"bajo"
"abismal","abysmal","sadness",-0.5,0.42,0.196,"alto"
"abismo","abyss","fear",-0.294,0.45,-0.408,"alto"
"abismo","chasm","fear",-0.47,0.158,0,"medio"
"abismo","abyss","sadness",-0.294,0.45,-0.408,"alto"
"Abogacía","advocacy","anger",0,0.292,0.462,"medio"
"Abogacía","advocacy","anticipation",0,0.292,0.462,"medio"
"Abogacía","advocacy","joy",0,0.292,0.462,"medio"
"Abogacía","advocacy","trust",0,0.292,0.462,"medio"
"abogado","attorney","anger",0.2,0.188,0.508,"medio"
"abogado","lawyer","anger",0.042,0.138,0.568,"medio"
"abogado","lawyer","disgust",0.042,0.138,0.568,"medio"
"abogado","lawyer","fear",0.042,0.138,0.568,"medio"
"abogado","attorney","fear",0.2,0.188,0.508,"medio"
"abogado","attorney","trust",0.2,0.188,0.508,"medio"
"abolir","abolish","anger",-0.104,0.23,0.058,"medio"
"abollado","battered","fear",-0.84,0.58,-0.388,"alto"
"abollado","battered","sadness",-0.84,0.58,-0.388,"alto"
"abominable","abominable","disgust",-0.76,0.462,-0.036,"alto"
"abominable","abominable","fear",-0.76,0.462,-0.036,"alto"
"abominación","abomination","anger",-0.844,0.51,0.036,"alto"
"abominación","abomination","disgust",-0.844,0.51,0.036,"alto"
"abominación","abomination","fear",-0.844,0.51,0.036,"alto"
"abordar","tackle","anger",-0.27,0.372,0.138,"alto"
"abordar","tackle","surprise",-0.27,0.372,0.138,"alto"
"aborrecer","abhor","anger",-0.75,0.204,-0.302,"medio"
"aborrecer","abhor","disgust",-0.75,0.204,-0.302,"medio"
"aborrecer","abhor","fear",-0.75,0.204,-0.302,"medio"
"aborrecible","abhorrent","anger",-0.542,0.5,-0.052,"alto"
"aborrecible","abhorrent","disgust",-0.542,0.5,-0.052,"alto"
"aborrecible","abhorrent","fear",-0.542,0.5,-0.052,"alto"
"abortivo","abortive","sadness",-0.82,0.552,-0.44,"alto"
"aborto","abortion","disgust",-0.836,0.54,-0.434,"alto"
